,link,title,pubDate,description,filename
13,https://www.marketplace.org/shows/marketplace/tracing-the-roots-of-labor-day,Tracing the roots of Labor Day,"Mon, 04 Sep 2023 22:01:44 +0000","<p>This has been a hot summer for labor organizing, and strikes — along with narrowly averted ones — have made headlines. This Labor Day, we chart the holiday&#8217;s history and examine the parallels between worker activism of more than a century ago and worker activism today. We&#8217;ll also do the numbers on labor, including women&#8217;s workforce participation and how hotels are hiring in a tight market. Later: the big business of wacky holidays.</p>",tracing-the-roots-of-labor-day
14,https://www.marketplace.org/shows/marketplace/gdp-doesnt-care-how-you-feel,GDP doesn’t care how you feel,"Fri, 01 Sep 2023 23:07:40 +0000","<p>Gross domestic product has been a global standard for measuring economic growth since 1944. But there&#8217;s a new push to measure economic welfare and well-being. Today, we&#8217;ll explore the history of GDP, all the things it can measure and all the things it can&#8217;t. We&#8217;ll also take a closer look at rebounding labor force participation and hear how small businesses are grappling with hiring hurdles.</p>",gdp-doesnt-care-how-you-feel
15,https://www.marketplace.org/shows/marketplace/get-used-to-these-labor-shortages,Get used to these labor shortages,"Thu, 31 Aug 2023 22:44:18 +0000","<p>The pandemic accelerated baby boomer retirement, and multiple sectors are struggling to find enough workers. Those challenges may persist for years to come. Today, we take a closer look at what some are calling an economywide labor shortage and what can be done to remedy it. We also hear from a White House economist who wants businesses to “step up and make investments” in the United States.</p>",get-used-to-these-labor-shortages
16,https://www.marketplace.org/shows/marketplace/give-yourself-a-pat-on-the-back,Give yourself a pat on the back,"Wed, 30 Aug 2023 22:52:10 +0000","<p>While U.S. gross domestic product didn’t grow as fast in the second quarter as initially thought, there are underlying signs of strength in the economy. And a lot of it is due to the American consumer, who keeps on spending. Good job! Plus, a view of China&#8217;s tourism recovery from the vantage point of a seafood market. Then, would you pay $500 a month for bigger, better Tinder?</p>",give-yourself-a-pat-on-the-back
17,https://www.marketplace.org/shows/marketplace/a-labor-market-thats-cooling-but-not-cool,"A labor market that’s cooling, but not cool","Tue, 29 Aug 2023 22:29:18 +0000","<p>Today, we learned that job openings fell in July. While it&#8217;s an indication that supply and demand in the job market are balancing out, there&#8217;s still a ways to go before that sought-after &#8220;soft landing&#8221; is achieved. Then, we turn to the housing market, looking at some homeowners who bypass high mortgage rates and others who bypass insurance. Later: the return of awkward business lunches.</p>",a-labor-market-thats-cooling-but-not-cool
18,https://www.marketplace.org/shows/marketplace/a-brake-tap-on-wage-gains,A brake tap on wage gains,"Mon, 28 Aug 2023 23:08:23 +0000","<p>It&#8217;s a big week for job data, including reports on the quits rate, private payrolls, layoff announcements and employment numbers. The Federal Reserve will be keeping a close eye on wage growth, and today we see indications that pay gains might be cooling. Then, the Texas power grid is strained by rising temps and growing cities, and companies invest in passenger rail.</p>",a-brake-tap-on-wage-gains
19,https://www.marketplace.org/shows/marketplace/remember-the-5-footlong-thank-behavioral-economics,Remember the $5 footlong? Thank behavioral economics.,"Fri, 25 Aug 2023 23:10:24 +0000","<p>How much should a sandwich cost? How about a fast food drink? A gallon of gas? Turns out, behavioral economics shapes how much we think something should cost and explains why it&#8217;s hard to adjust those prices for inflation. We also dissect Fed Chair Jerome Powell&#8217;s Jackson Hole Symposium speech and hear why squashing the last bit of inflation is so tricky.</p>",remember-the-5-footlong-thank-behavioral-economics
20,https://www.marketplace.org/shows/marketplace/manufacturing-is-down-in-the-dumps-but-things-may-be-looking-up,"Manufacturing is down in the dumps, but things may be looking up","Thu, 24 Aug 2023 23:10:21 +0000","<p>Nearly every business had to pivot during the pandemic. But domestic manufacturing has been weak for a while now. On today&#8217;s show, we hear how businesses in the sector are looking to pivot yet again. Plus: the challenges faced by schools as pandemic funding ends, and the risks around chipmaker Nvidia&#8217;s dominance of a very concentrated market. Later: Wordle, but make it global trade.</p>",manufacturing-is-down-in-the-dumps-but-things-may-be-looking-up
21,https://www.marketplace.org/shows/marketplace/the-things-that-keep-economists-up-at-night,The things that keep economists up at night,"Wed, 23 Aug 2023 23:13:51 +0000","<p>The theme of this year&#8217;s Federal Reserve symposium in Jackson Hole, Wyoming, is “Structural Shifts in the Global Economy.” Today, we ask a handful of economists who aren&#8217;t sitting around the campfire with Jay Powell to weigh in. Then: Just half of CEOs see climate change as a threat to their business. And later: Could teaching more women poker narrow the boardroom gender gap?</p>",the-things-that-keep-economists-up-at-night
22,https://www.marketplace.org/shows/marketplace/real-wages-rebound-while-low-income-earners-play-catch-up,"Real wages rebound, while low-income earners play catch-up","Tue, 22 Aug 2023 22:39:19 +0000","<p>Inflation is cooling and real wages are improving, which is good news. But after losing ground to rising prices for so long, low-income households are struggling to catch up financially, leaving them vulnerable to an economic slowdown. Plus, the U.S. dollar weakens as other countries hike interest rates, and the real estate refrain &#8220;you can always refinance&#8221; stages a comeback.</p>",real-wages-rebound-while-low-income-earners-play-catch-up
